query6: Parejas de productos que aparecen en más de un carro
   pr_1    |   pr_2    | sum_carros 
 S18_1889  | S10_4698  |          4
 S18_1889  | S12_1099  |         34
 S18_1889  | S12_2823  |          4
 S18_1889  | S12_3380  |         40
 S18_1889  | S12_3990  |         36
 S18_1889  | S12_4675  |         50
 S18_1889  | S18_1129  |         28
 S18_1889  | S18_1589  |         16
 S18_1984  | S12_1099  |         14
 S18_1984  | S12_3380  |         16
 S18_1984  | S12_3990  |         16
 S18_1984  | S12_4675  |         22
 S18_1984  | S18_1129  |         50
 S18_1984  | S18_1342  |          2
 S18_1984  | S18_1367  |          2
 S18_1984  | S18_1589  |         28
 S18_1984  | S18_1749  |          4
 S18_1984  | S18_1889  |         26
 S18_2238  | S10_4962  |          8
 S18_2238  | S12_1108  |         16
 S18_2238  | S12_3148  |         24
 S18_2238  | S12_3891  |         16
 S18_2238  | S12_4473  |         50
 S18_2248  | S10_1949  |          4
 S18_2248  | S18_1097  |          4
 S18_2248  | S18_1129  |          2
 S18_2248  | S18_1342  |         20
 S18_2248  | S18_1367  |         20
 S18_2248  | S18_1589  |         12
 S18_2248  | S18_1749  |         46
 S18_2248  | S18_1984  |          2
 S18_2319  | S10_4962  |         22
 S18_2319  | S12_1108  |          4
 S18_2319  | S12_1666  |          8
 S18_2319  | S12_3148  |         12
 S18_2319  | S12_3891  |          6
 S18_2319  | S12_4473  |         44
 S18_2319  | S18_1097  |          2
 S18_2319  | S18_2238  |         38
 S18_2325  | S10_1949  |          8
 S18_2325  | S10_4962  |          2
 S18_2325  | S12_1666  |          4
 S18_2325  | S18_1097  |          8
 S18_2325  | S18_1129  |          6
 S18_2325  | S18_1342  |         28
 S18_2325  | S18_1367  |         26
 S18_2325  | S18_1589  |          8
 S18_2325  | S18_1749  |         38
 S18_2325  | S18_1984  |          6
 S18_2325  | S18_2248  |         40
 S18_2432  | S10_1949  |         20
 S18_2432  | S10_4962  |         44
 S18_2432  | S12_1108  |          2
 S18_2432  | S12_1666  |         28
 S18_2432  | S12_3148  |          2
 S18_2432  | S12_3891  |          2
 S18_2432  | S12_4473  |         26
 S18_2432  | S18_1097  |         22
 S18_2432  | S18_1342  |          4
 S18_2432  | S18_1367  |         10
 S18_2432  | S18_2238  |         20
 S18_2432  | S18_2319  |         34
 S18_2432  | S18_2325  |          2
 S18_2581  | S10_1678  |         12
 S18_2581  | S10_2016  |         22
 S18_2581  | S10_4698  |         22
 S18_2581  | S12_2823  |          4
 S18_2581  | S18_1662  |         18
 S18_2625  | S10_1678  |         36
 S18_2625  | S10_2016  |         52
 S18_2625  | S10_4698  |         48
 S18_2625  | S12_1099  |          8
 S18_2625  | S12_2823  |         28
 S18_2625  | S12_3380  |          6
 S18_2625  | S12_3990  |          8
 S18_2625  | S12_4675  |          6
 S18_2625  | S18_1662  |          2
 S18_2625  | S18_1889  |          6
 S18_2625  | S18_2581  |         22
 S18_2795  | S10_1949  |         10
 S18_2795  | S10_4962  |          4
 S18_2795  | S12_1666  |          6
 S18_2795  | S18_1097  |         10
 S18_2795  | S18_1129  |          4
 S18_2795  | S18_1342  |         40
 S18_2795  | S18_1367  |         38
 S18_2795  | S18_1589  |          4
 S18_2795  | S18_1749  |         24
 S18_2795  | S18_1984  |          4
 S18_2795  | S18_2248  |         26
 S18_2795  | S18_2325  |         38
 S18_2795  | S18_2432  |          4
 S18_2870  | S12_1099  |         10
 S18_2870  | S12_3380  |         12
 S18_2870  | S12_3990  |         10
 S18_2870  | S12_4675  |         16
 S18_2870  | S18_1129  |         30
 S18_2870  | S18_1589  |         42
 S18_2870  | S18_1749  |         10
 S18_2870  | S18_1889  |         18
 S18_2870  | S18_1984  |         34
 S18_2870  | S18_2248  |          8
 S18_2870  | S18_2325  |          2
 S18_2949  | S10_1949  |         44
 S18_2949  | S10_4962  |         22
 S18_2949  | S12_1666  |         30
 S18_2949  | S18_1097  |         38
 S18_2949  | S18_1342  |         22
 S18_2949  | S18_1367  |         28
 S18_2949  | S18_1749  |          6
 S18_2949  | S18_2248  |          6
 S18_2949  | S18_2325  |         10
 S18_2949  | S18_2432  |         16
 S18_2949  | S18_2795  |         18
 S18_2957  | S10_1949  |         34
 S18_2957  | S10_4962  |         18
 S18_2957  | S12_1666  |         22
 S18_2957  | S18_1097  |         30
 S18_2957  | S18_1342  |         26
 S18_2957  | S18_1367  |         32
 S18_2957  | S18_1749  |          8
 S18_2957  | S18_2248  |         10
 S18_2957  | S18_2325  |         14
 S18_2957  | S18_2432  |         14
 S18_2957  | S18_2795  |         22
 S18_2957  | S18_2949  |         46
 S18_3029  | S10_4757  |         38
 S18_3029  | S18_1662  |         40
 S18_3029  | S18_2581  |         10
 S18_3136  | S10_1949  |         36
 S18_3136  | S10_4962  |         20
 S18_3136  | S12_1666  |         24
 S18_3136  | S18_1097  |         32
 S18_3136  | S18_1342  |         26
 S18_3136  | S18_1367  |         32
 S18_3136  | S18_1749  |          8
 S18_3136  | S18_2248  |         10
 S18_3136  | S18_2325  |         14
 S18_3136  | S18_2432  |         14
 S18_3136  | S18_2795  |         22
 S18_3136  | S18_2949  |         48
 S18_3136  | S18_2957  |         54
 S18_3140  | S10_4757  |         12
 S18_3140  | S12_1108  |         28
 S18_3140  | S12_3148  |         26
 S18_3140  | S12_3891  |         32
 S18_3140  | S12_4473  |          4
 S18_3140  | S18_1662  |          2
 S18_3140  | S18_2238  |          6
 S18_3140  | S18_2319  |          2
 S18_3140  | S18_2581  |          2
 S18_3140  | S18_3029  |         10
 S18_3232  | S10_4962  |         22
 S18_3232  | S12_1099  |         18
 S18_3232  | S12_1108  |          4
 S18_3232  | S12_1666  |          8
 S18_3232  | S12_3148  |         10
 S18_3232  | S12_3380  |         22
 S18_3232  | S12_3891  |          6
 S18_3232  | S12_3990  |         20
 S18_3232  | S12_4473  |         42
 S18_3232  | S12_4675  |         32
 S18_3232  | S18_1097  |          2
 S18_3232  | S18_1129  |         40
 S18_3232  | S18_1589  |         22
 S18_3232  | S18_1749  |          2
 S18_3232  | S18_1889  |         36
 S18_3232  | S18_1984  |         40
 S18_3232  | S18_2238  |         36
 S18_3232  | S18_2319  |         54
 S18_3232  | S18_2432  |         34
 S18_3232  | S18_2870  |         28
 S18_3232  | S18_3140  |          2
 S18_3259  | S10_4757  |         10
 S18_3259  | S12_1108  |         28
 S18_3259  | S12_3148  |         28
 S18_3259  | S12_3891  |         32
 S18_3259  | S12_4473  |          6
 S18_3259  | S18_1662  |          2
 S18_3259  | S18_2238  |          8
 S18_3259  | S18_2319  |          4
 S18_3259  | S18_2432  |          2
 S18_3259  | S18_2581  |          2
 S18_3259  | S18_3029  |         10
 S18_3259  | S18_3140  |         50
 S18_3259  | S18_3232  |          4
 S18_3278  | S10_1678  |          8
 S18_3278  | S10_2016  |          6
 S18_3278  | S10_4698  |          6
 S18_3278  | S12_1099  |         40
 S18_3278  | S12_2823  |         14
 S18_3278  | S12_3380  |         34
 S18_3278  | S12_3990  |         40
 S18_3278  | S12_4675  |         26
 S18_3278  | S18_1129  |         14
 S18_3278  | S18_1589  |          4
 S18_3278  | S18_1889  |         28
 S18_3278  | S18_1984  |         12
 S18_3278  | S18_2325  |          2
 S18_3278  | S18_2625  |          6
 S18_3278  | S18_2795  |          2
 S18_3278  | S18_2870  |          4
 S18_3278  | S18_3232  |         14
 S18_3320  | S10_1949  |         24
 S18_3320  | S10_4962  |          8
 S18_3320  | S12_1108  |          2
 S18_3320  | S12_1666  |         14
 S18_3320  | S12_3148  |          2
 S18_3320  | S12_3891  |          2
 S18_3320  | S12_4473  |          2
 S18_3320  | S18_1097  |         20
 S18_3320  | S18_1342  |         30
 S18_3320  | S18_1367  |         34
 S18_3320  | S18_1749  |         16
 S18_3320  | S18_2238  |          2
 S18_3320  | S18_2248  |         16
 S18_3320  | S18_2325  |         18
 S18_3320  | S18_2432  |          8
 S18_3320  | S18_2795  |         26
 S18_3320  | S18_2949  |         36
 S18_3320  | S18_2957  |         40
 S18_3320  | S18_3136  |         40
 S18_3482  | S10_1678  |          4
 S18_3482  | S10_2016  |          2
 S18_3482  | S10_4698  |          2
 S18_3482  | S12_1099  |         38
 S18_3482  | S12_2823  |          8
 S18_3482  | S12_3380  |         32
 S18_3482  | S12_3990  |         38
 S18_3482  | S12_4675  |         22
 S18_3482  | S18_1129  |         14
 S18_3482  | S18_1589  |          4
 S18_3482  | S18_1889  |         24
 S18_3482  | S18_1984  |         12
 S18_3482  | S18_2325  |          2
 S18_3482  | S18_2625  |          2
 S18_3482  | S18_2795  |          2
 S18_3482  | S18_2870  |          4
 S18_3482  | S18_3232  |         14
 S18_3482  | S18_3278  |         48
 S18_3685  | S12_1099  |         10
 S18_3685  | S12_3380  |         12
 S18_3685  | S12_3990  |         10
 S18_3685  | S12_4675  |         16
 S18_3685  | S18_1129  |         34
 S18_3685  | S18_1589  |         40
 S18_3685  | S18_1749  |          8
 S18_3685  | S18_1889  |         18
 S18_3685  | S18_1984  |         36
 S18_3685  | S18_2248  |          6
 S18_3685  | S18_2325  |          4
 S18_3685  | S18_2795  |          2
 S18_3685  | S18_2870  |         44
 S18_3685  | S18_3232  |         26
 S18_3685  | S18_3278  |          4
 S18_3685  | S18_3482  |          4
 S18_3782  | S10_1678  |         12
 S18_3782  | S10_2016  |          4
 S18_3782  | S10_4698  |         10
 S18_3782  | S12_1099  |         20
 S18_3782  | S12_2823  |         20
 S18_3782  | S12_3380  |         14
 S18_3782  | S12_3990  |         20
 S18_3782  | S12_4675  |         10
 S18_3782  | S18_1129  |          8
 S18_3782  | S18_1589  |          2
 S18_3782  | S18_1889  |         12
 S18_3782  | S18_1984  |          8
 S18_3782  | S18_2325  |          2
 S18_3782  | S18_2625  |          4
 S18_3782  | S18_2795  |          2
 S18_3782  | S18_3232  |          6
 S18_3782  | S18_3278  |         32
 S18_3782  | S18_3482  |         34
 S18_3856  | S10_4757  |         32
 S18_3856  | S18_1662  |         40
 S18_3856  | S18_2581  |          8
 S18_3856  | S18_3029  |         48
 S18_3856  | S18_3140  |          4
 S18_3856  | S18_3259  |          4
 S18_4027  | S10_4757  |          2
 S18_4027  | S10_4962  |          2
 S18_4027  | S12_1108  |         30
 S18_4027  | S12_3148  |         40
 S18_4027  | S12_3891  |         34
 S18_4027  | S12_4473  |         18
 S18_4027  | S18_2238  |         24
 S18_4027  | S18_2319  |         18
 S18_4027  | S18_2432  |          4
 S18_4027  | S18_3140  |         20
 S18_4027  | S18_3232  |         20
 S18_4027  | S18_3259  |         22
 S18_4409  | S10_1949  |          2
 S18_4409  | S18_1097  |          2
 S18_4409  | S18_1129  |          4
 S18_4409  | S18_1342  |         18
 S18_4409  | S18_1367  |         16
 S18_4409  | S18_1589  |         16
 S18_4409  | S18_1749  |         40
 S18_4409  | S18_1984  |          4
 S18_4409  | S18_2248  |         40
 S18_4409  | S18_2325  |         36
 S18_4409  | S18_2795  |         22
 S18_4409  | S18_2870  |         10
 S18_4409  | S18_2949  |          4
 S18_4409  | S18_2957  |          8
 S18_4409  | S18_3136  |          8
 S18_4409  | S18_3232  |          2
 S18_4409  | S18_3320  |         12
 S18_4409  | S18_3685  |          8
 S18_4522  | S10_4757  |         18
 S18_4522  | S12_1108  |         16
 S18_4522  | S12_3148  |         16
 S18_4522  | S12_3891  |         20
 S18_4522  | S18_1662  |          2
 S18_4522  | S18_2319  |          2
 S18_4522  | S18_2581  |          2
 S18_4522  | S18_3029  |         14
 S18_4522  | S18_3140  |         42
 S18_4522  | S18_3232  |          2
 S18_4522  | S18_3259  |         42
 S18_4522  | S18_3856  |          8
 S18_4522  | S18_4027  |         14
 S18_4600  | S10_1949  |         24
 S18_4600  | S10_4962  |         50
 S18_4600  | S12_1108  |          2
 S18_4600  | S12_1666  |         34
 S18_4600  | S12_3148  |          4
 S18_4600  | S12_3891  |          2
 S18_4600  | S12_4473  |         18
 S18_4600  | S18_1097  |         28
 S18_4600  | S18_1367  |          4
 S18_4600  | S18_2238  |         12
 S18_4600  | S18_2319  |         24
 S18_4600  | S18_2432  |         38
 S18_4600  | S18_2795  |          2
 S18_4600  | S18_2949  |         16
 S18_4600  | S18_2957  |         14
 S18_4600  | S18_3136  |         16
 S18_4600  | S18_3232  |         22
 S18_4600  | S18_3320  |         12
 S18_4600  | S18_4027  |          2
 S18_4668  | S10_1949  |         36
 S18_4668  | S10_4962  |         28
 S18_4668  | S12_1108  |          4
 S18_4668  | S12_1666  |         42
 S18_4668  | S12_3148  |         10
 S18_4668  | S12_3891  |          2
 S18_4668  | S12_4473  |         12
 S18_4668  | S18_1097  |         42
 S18_4668  | S18_1342  |          6
 S18_4668  | S18_1367  |          8
 S18_4668  | S18_1749  |          2
 S18_4668  | S18_2238  |          8
 S18_4668  | S18_2248  |          2
 S18_4668  | S18_2319  |         12
 S18_4668  | S18_2325  |          4
 S18_4668  | S18_2432  |         16
 S18_4668  | S18_2795  |          4
 S18_4668  | S18_2949  |         24
 S18_4668  | S18_2957  |         18
 S18_4668  | S18_3136  |         20
 S18_4668  | S18_3232  |         10
 S18_4668  | S18_3320  |         16
 S18_4668  | S18_4027  |          4
 S18_4668  | S18_4600  |         32
 S18_4721  | S10_1678  |          8
 S18_4721  | S10_2016  |          4
 S18_4721  | S10_4698  |          6
 S18_4721  | S12_1099  |         28
 S18_4721  | S12_2823  |         14
 S18_4721  | S12_3380  |         22
 S18_4721  | S12_3990  |         28
 S18_4721  | S12_4675  |         14
 S18_4721  | S18_1129  |         12
 S18_4721  | S18_1589  |          2
 S18_4721  | S18_1889  |         16
 S18_4721  | S18_1984  |         10
 S18_4721  | S18_2325  |          2
 S18_4721  | S18_2625  |          4
 S18_4721  | S18_2795  |          2
 S18_4721  | S18_2870  |          2
 S18_4721  | S18_3232  |         10
 S18_4721  | S18_3278  |         40
 S18_4721  | S18_3482  |         42
 S18_4721  | S18_3685  |          2
 S18_4721  | S18_3782  |         46
 S18_4933  | S18_1129  |          6
 S18_4933  | S18_1342  |         12
 S18_4933  | S18_1367  |         10
 S18_4933  | S18_1589  |         18
 S18_4933  | S18_1749  |         32
 S18_4933  | S18_1984  |          6
 S18_4933  | S18_2248  |         32
 S18_4933  | S18_2325  |         30
 S18_4933  | S18_2795  |         16
 S18_4933  | S18_2870  |         12
 S18_4933  | S18_2949  |          2
 S18_4933  | S18_2957  |          6
 S18_4933  | S18_3136  |          6
 S18_4933  | S18_3232  |          2
 S18_4933  | S18_3320  |          8
 S18_4933  | S18_3685  |         10
 S18_4933  | S18_4409  |         42
 S24_1046  | S12_3380  |          2
 S24_1046  | S12_4675  |          6
 S24_1046  | S18_1129  |         14
 S24_1046  | S18_1342  |          6
 S24_1046  | S18_1367  |          4
 S24_1046  | S18_1589  |         30
 S24_1046  | S18_1749  |         24
 S24_1046  | S18_1889  |          6
 S24_1046  | S18_1984  |         16
 S24_1046  | S18_2248  |         26
 S24_1046  | S18_2325  |         24
 S24_1046  | S18_2795  |         10
 S24_1046  | S18_2870  |         24
 S24_1046  | S18_2957  |          2
 S24_1046  | S18_3136  |          2
 S24_1046  | S18_3232  |         10
 S24_1046  | S18_3320  |          2
 S24_1046  | S18_3685  |         22
 S24_1046  | S18_4409  |         32
 S24_1046  | S18_4933  |         38
 S24_1444  | S10_4962  |          8
 S24_1444  | S12_1108  |         16
 S24_1444  | S12_3148  |         22
 S24_1444  | S12_3891  |         16
 S24_1444  | S12_4473  |         42
 S24_1444  | S18_2238  |         48
 S24_1444  | S18_2319  |         36
 S24_1444  | S18_2432  |         18
 S24_1444  | S18_3140  |          8
 S24_1444  | S18_3232  |         38
 S24_1444  | S18_3259  |         10
 S24_1444  | S18_4027  |         32
 S24_1444  | S18_4522  |          2
 S24_1444  | S18_4600  |          8
 S24_1444  | S18_4668  |          4
 S24_1578  | S10_1678  |         46
 S24_1578  | S10_2016  |         42
 S24_1578  | S10_4698  |         50
 S24_1578  | S12_1099  |         10
 S24_1578  | S12_2823  |         38
 S24_1578  | S12_3380  |          6
 S24_1578  | S12_3990  |         10
 S24_1578  | S12_4675  |          6
 S24_1578  | S18_1889  |          6
 S24_1578  | S18_2581  |         18
 S24_1578  | S18_2625  |         46
 S24_1578  | S18_3278  |          8
 S24_1578  | S18_3482  |          4
 S24_1578  | S18_3782  |         12
 S24_1578  | S18_4721  |          8
 S24_1628  | S12_1099  |          4
 S24_1628  | S12_3380  |          6
 S24_1628  | S12_3990  |          4
 S24_1628  | S12_4675  |         10
 S24_1628  | S18_1129  |         20
 S24_1628  | S18_1342  |          2
 S24_1628  | S18_1367  |          2
 S24_1628  | S18_1589  |         42
 S24_1628  | S18_1749  |         18
 S24_1628  | S18_1889  |         12
 S24_1628  | S18_1984  |         22
 S24_1628  | S18_2248  |         20
 S24_1628  | S18_2325  |         14
 S24_1628  | S18_2795  |          6
 S24_1628  | S18_2870  |         38
 S24_1628  | S18_2957  |          2
 S24_1628  | S18_3136  |          2
 S24_1628  | S18_3232  |         16
 S24_1628  | S18_3278  |          2
 S24_1628  | S18_3482  |          2
 S24_1628  | S18_3685  |         36
 S24_1628  | S18_4409  |         22
 S24_1628  | S18_4933  |         24
 S24_1628  | S24_1046  |         36
 S24_1785  | S10_1678  |          8
 S24_1785  | S10_2016  |         18
 S24_1785  | S10_4698  |         18
 S24_1785  | S10_4757  |          2
 S24_1785  | S12_2823  |          2
 S24_1785  | S18_1662  |         20
 S24_1785  | S18_2581  |         50
 S24_1785  | S18_2625  |         18
 S24_1785  | S18_3029  |         12
 S24_1785  | S18_3140  |          2
 S24_1785  | S18_3259  |          2
 S24_1785  | S18_3856  |         14
 S24_1785  | S18_4522  |          2
 S24_1785  | S24_1578  |         14
 S24_1937  | S10_1949  |         10
 S24_1937  | S10_4962  |          4
 S24_1937  | S12_1666  |          6
 S24_1937  | S18_1097  |         10
 S24_1937  | S18_1129  |          2
 S24_1937  | S18_1342  |         32
 S24_1937  | S18_1367  |         30
 S24_1937  | S18_1589  |          6
 S24_1937  | S18_1749  |         36
 S24_1937  | S18_1984  |          2
 S24_1937  | S18_2248  |         38
 S24_1937  | S18_2325  |         52
 S24_1937  | S18_2432  |          4
 S24_1937  | S18_2795  |         38
 S24_1937  | S18_2949  |         12
 S24_1937  | S18_2957  |         14
 S24_1937  | S18_3136  |         14
 S24_1937  | S18_3320  |         18
 S24_1937  | S18_3685  |          2
 S24_1937  | S18_4409  |         34
 S24_1937  | S18_4668  |          4
 S24_1937  | S18_4933  |         28
 S24_1937  | S24_1046  |         22
 S24_1937  | S24_1628  |         12
 S24_2000  | S10_1678  |         32
 S24_2000  | S10_2016  |         40
 S24_2000  | S10_4698  |         36
 S24_2000  | S12_1099  |         10
 S24_2000  | S12_2823  |         22
 S24_2000  | S12_3380  |          8
 S24_2000  | S12_3990  |          8
 S24_2000  | S12_4675  |          8
 S24_2000  | S18_1662  |          6
 S24_2000  | S18_1889  |          8
 S24_2000  | S18_2581  |         24
 S24_2000  | S18_2625  |         42
 S24_2000  | S18_3278  |          6
 S24_2000  | S18_3482  |          2
 S24_2000  | S18_3782  |          4
 S24_2000  | S18_4721  |          4
 S24_2000  | S24_1578  |         34
 S24_2000  | S24_1785  |         20
 S24_2011  | S10_4757  |         24
 S24_2011  | S12_1108  |         16
 S24_2011  | S12_3148  |         16
 S24_2011  | S12_3891  |         20
 S24_2011  | S18_1662  |          4
 S24_2011  | S18_2581  |          2
 S24_2011  | S18_3029  |         16
 S24_2011  | S18_3140  |         36
 S24_2011  | S18_3259  |         38
 S24_2011  | S18_3856  |         10
 S24_2011  | S18_4027  |         12
 S24_2011  | S18_4522  |         48
 S24_2011  | S24_1785  |          2
 S24_2022  | S10_1949  |         10
 S24_2022  | S10_4962  |          4
 S24_2022  | S12_1666  |          6
 S24_2022  | S18_1097  |         10
 S24_2022  | S18_1129  |          2
 S24_2022  | S18_1342  |         38
 S24_2022  | S18_1367  |         36
 S24_2022  | S18_1589  |          4
 S24_2022  | S18_1749  |         28
 S24_2022  | S18_1984  |          2
 S24_2022  | S18_2248  |         30
 S24_2022  | S18_2325  |         40
 S24_2022  | S18_2432  |          4
 S24_2022  | S18_2795  |         48
 S24_2022  | S18_2949  |         16
 S24_2022  | S18_2957  |         18
 S24_2022  | S18_3136  |         18
 S24_2022  | S18_3320  |         22
 S24_2022  | S18_3685  |          2
 S24_2022  | S18_4409  |         26
 S24_2022  | S18_4668  |          4
 S24_2022  | S18_4933  |         20
 S24_2022  | S24_1046  |         14
 S24_2022  | S24_1628  |          6
 S24_2022  | S24_1937  |         44
 S24_2300  | S10_1949  |         10
 S24_2300  | S10_4962  |         32
 S24_2300  | S12_1108  |          8
 S24_2300  | S12_1666  |         16
 S24_2300  | S12_3148  |         12
 S24_2300  | S12_3891  |          4
 S24_2300  | S12_4473  |         36
 S24_2300  | S18_1097  |         10
 S24_2300  | S18_1367  |          2
 S24_2300  | S18_2238  |         30
 S24_2300  | S18_2319  |         38
 S24_2300  | S18_2432  |         44
 S24_2300  | S18_2949  |          6
 S24_2300  | S18_2957  |          6
 S24_2300  | S18_3136  |          6
 S24_2300  | S18_3232  |         36
 S24_2300  | S18_3259  |          2
 S24_2300  | S18_3320  |          6
 S24_2300  | S18_4027  |          8
 S24_2300  | S18_4600  |         36
 S24_2300  | S18_4668  |         24
 S24_2300  | S24_1444  |         24
 S24_2360  | S10_1678  |         24
 S24_2360  | S10_2016  |          8
 S24_2360  | S10_4698  |         14
 S24_2360  | S12_1099  |         18
 S24_2360  | S12_2823  |         32
 S24_2360  | S12_3380  |         10
 S24_2360  | S12_3990  |         16
 S24_2360  | S12_4675  |          8
 S24_2360  | S18_1129  |          2
 S24_2360  | S18_1889  |          6
 S24_2360  | S18_1984  |          2
 S24_2360  | S18_2325  |          2
 S24_2360  | S18_2581  |          2
 S24_2360  | S18_2625  |          8
 S24_2360  | S18_2795  |          2
 S24_2360  | S18_3278  |         22
 S24_2360  | S18_3482  |         24
 S24_2360  | S18_3782  |         40
 S24_2360  | S18_4721  |         34
 S24_2360  | S24_1578  |         18
 S24_2360  | S24_1785  |          2
 S24_2360  | S24_2000  |         10
 S24_2766  | S12_3380  |          2
 S24_2766  | S12_4675  |          6
 S24_2766  | S18_1129  |         12
 S24_2766  | S18_1342  |         10
 S24_2766  | S18_1367  |          6
 S24_2766  | S18_1589  |         24
 S24_2766  | S18_1749  |         24
 S24_2766  | S18_1889  |          6
 S24_2766  | S18_1984  |         12
 S24_2766  | S18_2248  |         24
 S24_2766  | S18_2325  |         22
 S24_2766  | S18_2795  |         10
 S24_2766  | S18_2870  |         20
 S24_2766  | S18_2957  |          2
 S24_2766  | S18_3136  |          2
 S24_2766  | S18_3232  |          8
 S24_2766  | S18_3320  |          4
 S24_2766  | S18_3685  |         16
 S24_2766  | S18_4409  |         32
 S24_2766  | S18_4933  |         38
 S24_2766  | S24_1046  |         42
 S24_2766  | S24_1628  |         30
 S24_2766  | S24_1937  |         20
 S24_2766  | S24_2022  |         14
 S24_2840  | S10_4962  |         16
 S24_2840  | S12_1108  |          8
 S24_2840  | S12_1666  |          4
 S24_2840  | S12_3148  |         12
 S24_2840  | S12_3891  |          8
 S24_2840  | S12_4473  |         48
 S24_2840  | S18_2238  |         42
 S24_2840  | S18_2319  |         46
 S24_2840  | S18_2432  |         28
 S24_2840  | S18_3140  |          4
 S24_2840  | S18_3232  |         48
 S24_2840  | S18_3259  |          6
 S24_2840  | S18_4027  |         22
 S24_2840  | S18_4522  |          2
 S24_2840  | S18_4600  |         16
 S24_2840  | S18_4668  |          8
 S24_2840  | S24_1444  |         42
 S24_2840  | S24_2300  |         34
 S24_2841  | S10_2016  |          2
 S24_2841  | S10_4698  |          2
 S24_2841  | S10_4757  |         26
 S24_2841  | S18_1662  |         46
 S24_2841  | S18_2581  |         12
 S24_2841  | S18_2625  |          2
 S24_2841  | S18_3029  |         38
 S24_2841  | S18_3140  |          2
 S24_2841  | S18_3259  |          2
 S24_2841  | S18_3856  |         46
 S24_2841  | S18_4522  |          2
 S24_2841  | S24_1578  |          2
 S24_2841  | S24_1785  |         18
 S24_2841  | S24_2011  |          4
 S24_2887  | S12_4675  |          2
 S24_2887  | S18_1129  |          8
 S24_2887  | S18_1342  |         12
 S24_2887  | S18_1367  |          8
 S24_2887  | S18_1589  |         18
 S24_2887  | S18_1749  |         26
 S24_2887  | S18_1889  |          2
 S24_2887  | S18_1984  |          8
 S24_2887  | S18_2248  |         26
 S24_2887  | S18_2325  |         24
 S24_2887  | S18_2795  |         12
 S24_2887  | S18_2870  |         14
 S24_2887  | S18_2957  |          4
 S24_2887  | S18_3136  |          4
 S24_2887  | S18_3232  |          4
 S24_2887  | S18_3320  |          6
 S24_2887  | S18_3685  |         10
 S24_2887  | S18_4409  |         36
 S24_2887  | S18_4933  |         42
 S24_2887  | S24_1046  |         36
 S24_2887  | S24_1628  |         24
 S24_2887  | S24_1937  |         22
 S24_2887  | S24_2022  |         16
 S24_2887  | S24_2766  |         44
 S24_2972  | S12_1099  |         22
